Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
257	1	-19.42301	-17.65296	-1.770042	0.09835622	0.8277205	0.2575668	7.047314	8.705431
258	0	-19.75899	-17.77898	-1.980014	0.08517029	0.8017662	0.4203371	8.138368	8.832882
259	1	-24.01143	-19.91342	-4.098009	0.1779458	0.9044854	0.488021	3.895271	9.083234
260	0	-19.83872	-18.12738	-1.711339	0.07824186	0.784941	0.3721893	8.859033	8.761947
261	1	-16.93914	-15.57551	-1.363639	0.07052701	0.7628029	0.3096403	9.82811	9.862808
262	0	-17.22192	-15.75085	-1.471069	0.07324193	0.7710549	0.3254574	9.463803	9.748953
263	1	-18.1237	-16.20721	-1.916484	0.08888923	0.8098095	0.3645306	7.797876	9.291611
264	0	-20.85047	-18.79378	-2.056688	0.0849133	0.8011866	0.4563154	8.162999	9.817914
265	1	-17.7641	-15.8642	-1.899899	0.09108999	0.8142832	0.342176	7.609477	9.129667
266	0	-19.48264	-18.1418	-1.34084	0.08064676	0.7910755	0.2441717	8.594855	9.852152
267	1	-18.31497	-17.22998	-1.084991	0.07494496	0.7759667	0.2133672	9.24875	9.67054
268	0	-18.3704	-16.85057	-1.519828	0.06783944	0.754083	0.3832282	10.21747	9.963743
269	1	-18.60657	-17.19768	-1.408888	0.06305204	0.7370314	0.3796611	10.99326	9.722598
270	0	-19.58694	-17.72151	-1.865432	0.08281596	0.796334	0.3940326	8.369729	9.846995
271	1	-16.98314	-15.64775	-1.335394	0.06763894	0.7534091	0.3200416	10.24775	9.836695
272	0	-17.29731	-15.89466	-1.40265	0.07995354	0.789341	0.2635893	8.669375	9.229451
273	1	-18.6911	-16.25276	-2.438344	0.1187966	0.8570562	0.3256544	5.834737	8.817616
274	0	-16.745	-15.57276	-1.172239	0.07126806	0.7651088	0.2517122	9.725917	9.785906
275	1	-17.7522	-16.45032	-1.301877	0.06419921	0.7413073	0.3329277	10.79682	9.609447
