Iteration	Posterior	Likelihood	Prior	sigma2
3170	-13.46912	-15.10679	1.637672	0.04860804
3180	-15.05854	-16.28262	1.224086	0.07350661
3190	-15.27575	-16.45575	1.179995	0.07682004
3200	-13.5328	-15.14753	1.614723	0.04973646
3210	-13.03514	-15.15843	2.123291	0.02990931
3220	-13.44607	-15.75326	2.307183	0.02488531
3230	-13.33606	-15.60755	2.27149	0.02578958
3240	-14.23478	-15.6451	1.410322	0.06101615
3250	-13.70872	-15.26523	1.556509	0.05271775
3260	-13.4445	-15.09138	1.646879	0.04816258
3270	-15.91511	-16.97329	1.058186	0.08677117
3280	-14.2115	-16.69159	2.480095	0.02093381
3290	-13.54117	-15.15296	1.611792	0.04988243
3300	-13.1863	-14.94695	1.760653	0.04298315
3310	-12.99578	-15.08133	2.085542	0.03105994
3320	-12.95833	-14.94079	1.982464	0.03443237
3330	-13.42112	-15.07693	1.655814	0.04773414
3340	-13.19364	-14.95042	1.756774	0.04315017
3350	-12.98606	-14.90039	1.914335	0.03685995
3360	-12.96031	-14.97942	2.019112	0.03319335
3370	-13.15866	-15.35769	2.199031	0.02772763
3380	-13.02737	-14.89512	1.86775	0.0386177
3390	-13.41804	-15.71659	2.298548	0.02510113
3400	-13.11623	-14.91731	1.801076	0.04128027
3410	-13.08058	-14.90548	1.824901	0.04030842
3420	-13.00691	-14.89528	1.888372	0.03782947
3430	-12.98236	-14.90219	1.919828	0.03665803
3440	-12.9741	-14.90788	1.933781	0.03615011
3450	-13.04874	-15.18259	2.133852	0.0295951
3460	-12.95858	-14.96789	2.009308	0.03352035
3470	-13.11305	-14.91614	1.80309	0.04119723
3480	-13.56049	-15.16559	1.605093	0.0502177
3490	-13.03579	-14.89592	1.860125	0.0389133
3500	-14.7752	-16.05947	1.284263	0.06921364
3510	-14.18489	-15.60783	1.422947	0.06025067
3520	-15.62542	-16.73749	1.112072	0.08221919
3530	-14.29832	-15.69285	1.394527	0.06198755
3540	-13.08208	-15.23875	2.156675	0.02892731
3550	-13.01745	-14.89477	1.877322	0.03824983
3560	-14.8212	-16.09547	1.274263	0.06990927
3570	-14.03377	-15.49629	1.462526	0.0579126
3580	-14.62426	-15.94205	1.317784	0.066932
3590	-12.96007	-14.97808	2.018014	0.0332298
3600	-12.95766	-14.95482	1.997152	0.03393031
3610	-13.5516	-15.88905	2.337444	0.02414354
3620	-12.98885	-14.89927	1.910415	0.03700472
3630	-14.93355	-17.52528	2.591726	0.01872266
3640	-16.00695	-17.04845	1.041493	0.08823187
3650	-14.07761	-15.52843	1.450821	0.05859446
3660	-13.28126	-14.99542	1.714153	0.04502903
3670	-13.04111	-15.16915	2.12804	0.0297676
3680	-13.03596	-14.89594	1.859979	0.03891896
3690	-13.12054	-15.29983	2.179285	0.0282806
3700	-13.13518	-15.32231	2.187131	0.02805958
3710	-13.9973	-15.46971	1.472412	0.05734289
3720	-15.13094	-17.74876	2.617826	0.01824033
3730	-12.95859	-14.93891	1.980328	0.034506
3740	-13.16797	-14.93856	1.770594	0.04255797
3750	-13.17564	-14.94202	1.76639	0.04273726
3760	-13.45903	-15.77011	2.311082	0.02478847
3770	-13.02921	-14.89526	1.866043	0.0386837
3780	-13.17165	-15.37696	2.2053	0.02755435
3790	-13.73864	-15.28586	1.547217	0.05320985
3800	-15.10374	-16.31852	1.214775	0.07419419
3810	-13.78966	-15.32138	1.531721	0.05404084
3820	-14.15016	-15.58202	1.431857	0.05971622
3830	-13.81841	-15.34158	1.523165	0.05450519
3840	-13.45571	-15.09837	1.64266	0.04836617
3850	-13.05142	-14.89837	1.846948	0.03942944
3860	-16.71407	-17.63229	0.918223	0.09980696
3870	-12.96967	-14.91238	1.942708	0.03582882
3880	-13.22607	-14.96634	1.740272	0.04386819
3890	-13.4616	-15.77345	2.311848	0.02476949
3900	-13.36774	-15.04474	1.677	0.04673347
3910	-12.96815	-14.9143	1.946145	0.0357059
3920	-14.67622	-15.98233	1.306118	0.06771737
3930	-13.54432	-15.15502	1.610693	0.04993728
3940	-13.0338	-14.89569	1.861889	0.03884471
3950	-14.64549	-15.95849	1.313	0.06725294
3960	-12.95764	-14.95301	1.99537	0.03399083
3970	-13.11556	-15.29209	2.176529	0.02835863
3980	-13.09552	-15.26047	2.164948	0.02868899
3990	-13.15586	-14.93324	1.777381	0.04227008
4000	-12.95867	-14.96862	2.009954	0.03349872
4010	-14.56362	-15.8952	1.331579	0.06601497
4020	-13.13831	-14.92588	1.787575	0.04184138
4030	-13.82245	-15.34442	1.521975	0.05457011
4040	-13.0141	-14.89482	1.880722	0.03812001
4050	-14.2354	-15.64557	1.410166	0.0610257
4060	-12.95969	-14.93313	1.973433	0.03474473
4070	-13.32079	-15.58689	2.266107	0.02592879
4080	-12.99122	-14.89844	1.907226	0.03712293
4090	-13.22047	-15.44766	2.227188	0.02695782
4100	-16.28621	-17.27798	0.9917669	0.09273019
4110	-13.10642	-15.27778	2.171352	0.02850583
4120	-12.99851	-14.89654	1.898023	0.03746614
4130	-13.58971	-15.18485	1.595142	0.05071993
4140	-16.47436	-19.24007	2.765712	0.01573283
4150	-13.059	-14.89994	1.840934	0.03966727
4160	-13.58959	-15.18477	1.59518	0.05071802
4170	-12.95932	-14.9348	1.975478	0.03467375
4180	-13.02582	-14.89502	1.869203	0.03856165
4190	-13.12012	-14.91876	1.798636	0.04138115
4200	-13.25828	-14.98304	1.724764	0.04455379
4210	-14.73947	-16.03157	1.292099	0.06867341
4220	-12.95792	-14.96066	2.002741	0.0337412
4230	-14.06855	-15.52178	1.453224	0.0584538
4240	-13.64897	-15.22452	1.575544	0.05172373
4250	-13.83588	-15.35391	1.518026	0.05478603
4260	-15.61807	-16.73153	1.113467	0.0821046
4270	-15.89326	-16.95544	1.062183	0.08642504
4280	-13.28642	-14.99824	1.711821	0.0451342
4290	-13.54411	-15.15488	1.610766	0.04993366
4300	-13.80081	-15.3292	1.52839	0.05422114
4310	-13.49213	-15.81292	2.320795	0.02454887
4320	-16.4839	-17.44131	0.9574186	0.09597064
4330	-13.03676	-15.16137	2.124602	0.02987012
4340	-15.89218	-16.95456	1.062381	0.08640796
4350	-13.00095	-14.89608	1.895132	0.03757462
4360	-12.96164	-14.98619	2.024545	0.03301348
4370	-13.91417	-15.40967	1.495502	0.05603402
4380	-13.58315	-15.18051	1.597357	0.0506077
4390	-13.43812	-15.08741	1.649299	0.04804614
4400	-12.96354	-14.99441	2.030871	0.0328053
4410	-13.06665	-14.90173	1.835079	0.03990023
4420	-13.0034	-15.09745	2.094045	0.03079695
4430	-13.00291	-14.89577	1.89286	0.03766008
4440	-12.96966	-14.9124	1.942746	0.03582747
4450	-13.0637	-14.90102	1.837312	0.03981123
4460	-12.97887	-14.90425	1.925382	0.03645501
4470	-13.46382	-15.77633	2.312509	0.02475314
4480	-13.12633	-14.92113	1.794798	0.04154027
4490	-13.46849	-15.1064	1.637904	0.04859677
4500	-14.10106	-15.5457	1.444638	0.05895788
4510	-13.41509	-15.07324	1.658152	0.04762267
4520	-14.06481	-15.51903	1.454219	0.05839565
4530	-13.0123	-15.11539	2.103089	0.03051969
4540	-13.14103	-14.92699	1.785968	0.04190867
4550	-13.53088	-15.86263	2.331752	0.02428137
4560	-13.47434	-15.11009	1.635745	0.04870179
4570	-12.99159	-15.07207	2.080485	0.0312174
4580	-13.51656	-15.84431	2.327752	0.02437867
4590	-13.05079	-14.89825	1.847459	0.03940931
4600	-13.01914	-15.12868	2.109537	0.03032353
4610	-16.10845	-17.1317	1.023246	0.08985655
4620	-12.9641	-14.9966	2.032507	0.03275168
4630	-13.10243	-14.9124	1.809964	0.04091501
4640	-13.09764	-14.91078	1.813143	0.04078516
4650	-13.00168	-15.09386	2.092187	0.03085423
4660	-13.09711	-15.26301	2.165898	0.02866173
4670	-15.38075	-16.53998	1.159232	0.07843174
4680	-13.12004	-14.91873	1.798685	0.04137908
4690	-12.96743	-15.00858	2.04115	0.03246981
4700	-13.22382	-14.96521	1.741384	0.04381941
4710	-13.63031	-15.98842	2.358108	0.02364977
4720	-12.96152	-14.98559	2.024076	0.03302897
4730	-12.95764	-14.9533	1.995659	0.033981
4740	-13.1551	-14.93292	1.777815	0.04225175
4750	-12.96506	-14.91905	1.953989	0.03542692
4760	-13.21649	-14.96154	1.745048	0.04365916
4770	-13.42205	-15.0775	1.655455	0.0477513
4780	-13.50603	-15.13026	1.624226	0.04926602
4790	-15.28413	-16.46245	1.178327	0.07694833
4800	-12.95797	-14.94432	1.986352	0.03429874
4810	-13.13166	-14.92322	1.791555	0.04167518
4820	-12.99101	-15.07076	2.079758	0.03124012
4830	-13.73557	-15.28374	1.548164	0.0531595
4840	-13.54306	-15.15419	1.611135	0.04991523
4850	-13.00303	-14.89575	1.892722	0.0376653
4860	-14.15467	-15.58536	1.430695	0.05978564
4870	-13.26052	-15.50407	2.243553	0.02652023
4880	-13.43927	-15.74438	2.305112	0.02493691
4890	-13.04382	-14.89703	1.853211	0.03918329
4900	-14.15288	-15.58404	1.431155	0.05975815
4910	-16.32698	-17.3116	0.9846286	0.09339449
4920	-14.99107	-16.22919	1.238121	0.07248212
4930	-13.23179	-15.46373	2.231942	0.02682995
4940	-14.4058	-15.77428	1.368479	0.06362341
4950	-12.98391	-15.05421	2.070305	0.03153681
4960	-13.9027	-15.40145	1.498752	0.05585219
4970	-13.11389	-14.91645	1.802555	0.04121926
4980	-15.89027	-16.953	1.062731	0.08637775
4990	-14.45796	-16.97963	2.521665	0.02008145
5000	-15.54806	-16.67487	1.126808	0.08101649
5010	-14.08786	-16.5453	2.457436	0.02141356
5020	-13.10795	-15.28018	2.172227	0.0284809
5030	-16.22566	-17.22808	1.002423	0.09174724
5040	-13.03226	-15.1532	2.120936	0.02997984
5050	-13.78446	-15.31774	1.533281	0.05395659
5060	-15.08003	-16.29968	1.219651	0.07383333
5070	-13.47505	-15.11053	1.635485	0.04871446
5080	-14.1129	-15.55443	1.441537	0.05914097
5090	-14.16576	-15.5936	1.427841	0.05995653
5100	-13.52027	-15.84907	2.328796	0.02435325
5110	-13.14106	-15.33125	2.190187	0.02797394
5120	-13.05936	-15.2009	2.14154	0.02936846
5130	-13.90234	-15.4012	1.498854	0.05584653
5140	-13.00079	-14.89611	1.895321	0.03756753
5150	-13.11959	-15.29835	2.178761	0.02829541
5160	-13.05151	-15.18742	2.135904	0.02953443
5170	-13.8323	-15.35137	1.519077	0.05472846
5180	-15.52117	-16.65313	1.131968	0.08059955
5190	-13.06635	-14.90166	1.835309	0.03989105
5200	-13.65933	-16.02472	2.365383	0.02347833
5210	-13.89989	-15.39944	1.499551	0.05580759
5220	-12.971	-15.01988	2.048873	0.03222002
5230	-13.01073	-15.11228	2.101553	0.03056659
5240	-13.0241	-14.89493	1.870828	0.03849903
5250	-13.51661	-15.13706	1.620446	0.0494526
5260	-13.91301	-15.40884	1.49583	0.05601561
5270	-13.11846	-15.2966	2.178138	0.02831307
5280	-14.61153	-17.1571	2.545566	0.01960716
5290	-13.04963	-15.18415	2.134516	0.02957545
5300	-13.0436	-14.897	1.853395	0.03917608
5310	-13.80851	-15.33461	1.526099	0.05434553
5320	-13.5635	-15.16756	1.604059	0.05026968
5330	-14.3419	-15.72577	1.38387	0.06265171
5340	-13.04662	-15.17889	2.132268	0.02964202
5350	-13.07849	-14.90488	1.826392	0.04024833
5360	-13.17997	-14.94401	1.764045	0.04283759
