Iteration	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
2420	-17.35301	-15.95203	-1.400985	0.06835251	0.7557923	0.3366018	10.14077	9.702763
2430	-18.17417	-16.99221	-1.18196	0.06913961	0.758373	0.2659141	10.02533	9.249551
2440	-17.00374	-16.07581	-0.9279244	0.06379396	0.7398111	0.2310356	10.8654	9.792723
2450	-19.99531	-17.22096	-2.774346	0.1246257	0.8637055	0.4026821	5.561834	9.026551
2460	-17.2422	-15.70348	-1.538717	0.07679713	0.7810919	0.3229307	9.025691	9.607115
2470	-17.29079	-16.19821	-1.092583	0.05906523	0.7211442	0.3011396	11.73528	9.852835
2480	-19.34446	-17.19858	-2.145882	0.09679288	0.8249899	0.3877241	7.161138	8.623336
2490	-17.64822	-16.62477	-1.02345	0.06057815	0.7273688	0.2721454	11.4422	9.649394
2500	-17.89756	-16.41035	-1.487207	0.06924129	0.7587028	0.3600572	10.0106	9.9721
2510	-19.26726	-17.23376	-2.033499	0.08850299	0.8090031	0.4131545	7.831907	9.449806
2520	-18.89085	-17.40308	-1.487769	0.06639198	0.7491421	0.3827134	10.44022	9.451486
2530	-17.48819	-16.23452	-1.25367	0.07633529	0.7798344	0.2452286	9.080297	9.304813
2540	-18.28685	-16.17907	-2.107786	0.1044776	0.8376635	0.317072	6.634411	9.074193
2550	-17.82589	-16.72656	-1.099337	0.06219079	0.7337376	0.2837246	11.1455	9.538525
2560	-19.04538	-16.44548	-2.599907	0.1174234	0.8553958	0.394074	5.902971	8.681858
2570	-26.23638	-23.3358	-2.900585	0.1249428	0.8640498	0.4538004	5.547718	9.748562
2580	-18.33	-16.90153	-1.428472	0.08397599	0.7990452	0.2483547	8.254111	9.564436
2590	-17.25835	-16.01926	-1.23909	0.06556889	0.7462518	0.30371	10.57128	9.578625
2600	-20.91145	-17.97765	-2.933793	0.141181	0.8796389	0.3323835	4.909634	8.304466
2610	-17.99987	-16.40107	-1.598799	0.07586752	0.778547	0.3497594	9.136283	9.84177
2620	-17.6951	-16.54835	-1.146749	0.07508133	0.7763516	0.2263039	9.231952	9.453532
2630	-19.26218	-16.57966	-2.682519	0.1206465	0.8592345	0.3997177	5.745275	8.602392
2640	-21.04093	-18.88085	-2.160084	0.08633717	0.8043584	0.4909612	8.028375	8.909459
2650	-17.11716	-16.14466	-0.9724985	0.06398783	0.7405288	0.2405751	10.83248	9.699494
2660	-20.05625	-17.71933	-2.336918	0.09747912	0.8261987	0.4625561	7.110724	9.013112
2670	-18.71807	-17.34653	-1.371544	0.06038149	0.7265736	0.3870695	11.47946	9.92827
2680	-17.55522	-15.8581	-1.697119	0.08273453	0.7961411	0.3335684	8.377967	9.186425
2690	-19.84719	-17.56945	-2.277743	0.09632659	0.8241592	0.4467725	7.195803	8.840871
2700	-20.94533	-17.84303	-3.102297	0.1300831	0.8694001	0.4978455	5.328493	8.515951
2710	-19.21516	-17.9422	-1.27296	0.08222885	0.7949354	0.2206153	8.429489	9.094746
2720	-21.44474	-17.31649	-4.128251	0.1897037	0.9104041	0.3919359	3.653842	8.603191
2730	-19.61767	-17.86534	-1.752336	0.08114973	0.7923173	0.3645614	8.541583	8.729066
2740	-19.56599	-18.30107	-1.264918	0.05636842	0.7094082	0.3788481	12.29673	9.707584
2750	-17.76257	-15.85915	-1.903415	0.09134292	0.8147845	0.3415435	7.588406	9.12788
2760	-19.41615	-17.32687	-2.089282	0.08900316	0.8100461	0.4322445	7.787894	9.218309
2770	-17.68553	-16.18343	-1.502096	0.07597094	0.7788328	0.3168247	9.123847	9.173663
2780	-20.72816	-18.85478	-1.873384	0.08789711	0.807725	0.3565817	7.885893	9.945471
2790	-17.89083	-16.04505	-1.845786	0.08663939	0.8050193	0.3562575	8.00037	9.177266
2800	-18.6962	-16.71972	-1.976475	0.0996881	0.8299828	0.3077999	6.953158	8.652293
2810	-16.43248	-15.36307	-1.069414	0.0659755	0.747687	0.2541104	10.50613	9.858608
2820	-17.51111	-15.99852	-1.512588	0.07370129	0.7723992	0.3359633	9.404817	9.8137
2830	-17.83352	-16.24395	-1.589565	0.08822098	0.8084102	0.2666326	7.856942	9.368419
