Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
438	0	-13.03672	-15.16128	2.124564	0.02987127
439	1	-13.1248	-15.30641	2.181607	0.02821501
440	0	-12.98187	-14.90245	1.920587	0.03663025
441	1	-12.96574	-14.91788	1.952144	0.03549233
442	0	-13.25784	-14.98281	1.724968	0.04454471
443	1	-13.10522	-15.27588	2.17066	0.02852558
444	0	-13.00334	-14.89571	1.892366	0.03767871
445	1	-13.01425	-15.11922	2.104972	0.03046227
446	0	-15.32252	-16.49322	1.170705	0.07753702
447	1	-12.96482	-14.99937	2.034553	0.03268474
448	0	-14.65582	-15.9665	1.310682	0.06740906
449	1	-13.00368	-14.89566	1.891986	0.037693
450	0	-13.46353	-15.77595	2.312423	0.02475526
451	1	-13.47356	-15.10959	1.636032	0.04868784
452	0	-14.74123	-16.03294	1.291711	0.06870002
453	1	-14.44729	-16.96725	2.519951	0.02011588
454	0	-13.01071	-15.11225	2.101536	0.03056713
455	1	-13.25214	-14.9798	1.727658	0.04442504
456	0	-13.46135	-15.10191	1.640555	0.0484681
457	1	-13.45736	-15.09941	1.642044	0.04839598
458	0	-13.04124	-14.89664	1.855398	0.03909766
459	1	-13.24053	-14.97374	1.733207	0.04417919
460	0	-14.53849	-15.87584	1.337358	0.06563462
461	1	-13.5826	-15.92835	2.345755	0.02394373
462	0	-14.03079	-15.49412	1.463327	0.05786625
463	1	-13.18975	-15.40345	2.213699	0.0273239
464	0	-14.87997	-17.46435	2.584375	0.01886081
465	1	-13.72938	-16.11166	2.382275	0.02308507
466	0	-13.01185	-15.11451	2.102655	0.03053293
467	1	-13.2237	-14.96515	1.741445	0.04381674
468	0	-15.01922	-16.25146	1.232245	0.07290932
469	1	-14.17957	-15.60387	1.424306	0.06016888
470	0	-13.92347	-15.41635	1.492878	0.05618124
471	1	-13.08957	-15.25092	2.161344	0.02879254
472	0	-13.11849	-14.91815	1.799653	0.04133907
473	1	-13.12909	-14.9222	1.793111	0.04161041
474	0	-13.45787	-15.09973	1.641853	0.04840524
475	1	-15.19809	-16.39367	1.195575	0.07563247
476	0	-14.12133	-16.58503	2.463706	0.02127973
477	1	-14.07316	-16.52781	2.45465	0.02147332
478	0	-13.46122	-15.10182	1.640606	0.04846563
479	1	-13.14774	-14.92978	1.782044	0.04207346
480	0	-13.23338	-14.97006	1.736679	0.04402605
481	1	-15.14748	-16.35332	1.205837	0.07486035
482	0	-15.12762	-16.33751	1.209886	0.0745578
483	1	-12.95822	-14.94173	1.983509	0.0343964
484	0	-13.53217	-15.14712	1.614945	0.04972539
485	1	-13.41701	-15.07441	1.657405	0.04765824
486	0	-13.7981	-15.3273	1.529196	0.05417746
487	1	-13.3311	-15.02336	1.692263	0.04602561
488	0	-13.00623	-15.10324	2.097011	0.03070576
489	1	-15.42601	-16.5764	1.150382	0.07912898
490	0	-13.00122	-15.09291	2.09169	0.03086957
491	1	-13.07768	-15.23154	2.153864	0.02900874
492	0	-13.19681	-15.41369	2.21688	0.02723712
493	1	-15.10793	-16.32185	1.213917	0.07425791
494	0	-13.75418	-15.29664	1.542453	0.05346399
495	1	-13.27633	-14.99273	1.716401	0.04492795
496	0	-12.95887	-14.93717	1.978304	0.0345759
497	1	-13.04281	-15.17216	2.129354	0.02972851
498	0	-13.61611	-15.20243	1.586315	0.05116959
499	1	-13.014	-15.11874	2.104735	0.03046949
500	0	-16.00231	-18.72083	2.718518	0.01649311
501	1	-12.98427	-14.90121	1.916948	0.03676376
502	0	-13.0961	-14.91027	1.814177	0.04074299
